disease,symptom,values
Lumbagosciatica due to displacement of lumbar intervertebral disc,Sciatica disorder,1
Grisels syndrome,Wry necktorticollis,1
Disorder of back,Ilioinguinal nerve neuralgia,1
Disorder of back,Genitofemoral nerve neuralgia,1
PuttiChavany syndrome,Pain finding,1
PuttiChavany syndrome,Sciatica disorder,1
Ganglion of aponeurosis,Mass of musculoskeletal structure,1
Disorder of soft tissue,Arm claudication,1
Primary fibrositis,Pain finding,1
Secondary fibrositis,Pain finding,1
iphoidalgia syndrome,Pain finding,1
Segmental dysfunction,Pain finding at anatomical site,1
Edema of nasopharynx,Edema of uvula,1
Cyst of pharynx,Mass of respiratory structure,1
Cyst of pharynx,Mass of digestive structure,1
Laryngeal hemiplegia,Hemiplegia disorder,1
Disorder of vocal cord,Aphonia paralytica,1
Grainhandlers disease,Diffuse inflammation,1
Diaphragmatic cyst,Mass of musculoskeletal structure,1
Adductor spastic dysphonia,Spastic dysphonia,1
Adductor spastic dysphonia of organic voice tremor,Dysphonia of organic tremor,1
Abductor spastic dysphonia,Spastic dysphonia,1
Neurologic voice disorder,Flaccid dysphonia,1
Neurologic voice disorder,Spastic pseudobulbar dysphonia,1
Neurologic voice disorder,Dysphonia of organic tremor,1
Mixed flaccidspastic pseudobulbar dysphonia,Flaccid dysphonia,1
Mixed flaccidspastic pseudobulbar dysphonia,Spastic pseudobulbar dysphonia,1
Dysphonia of palatopharyngolaryngeal myoclonus,Myoclonic disorder,1
Apraxic aphonia,Loss of voice,1
Apraxic aphonia,Other and unspecified symbolic dysfunctions,1
Apraxic aphonia,DOther symbolic dysfunction,1
Dysprosody of pseudoforeign dialect,DOther speech disturbance NOS,1
Dysprosody of pseudoforeign dialect,DOther speech disturbance,1
Vocal nodules in children,Mass of respiratory structure,1
Vocal nodules in adults,Mass of respiratory structure,1
"Angina, class I",Angina,1
"Angina, class I",Ischemic chest pain,1
"Angina, class I",Pain finding,1
"Angina, class I",Other forms of angina pectoris,1
"Angina, class II",Angina,1
"Angina, class II",Ischemic chest pain,1
"Angina, class II",Pain finding,1
"Angina, class II",Other forms of angina pectoris,1
"Angina, class III",Angina,1
"Angina, class III",Ischemic chest pain,1
"Angina, class III",Pain finding,1
"Angina, class III",Other forms of angina pectoris,1
"Angina, class IV",Angina,1
"Angina, class IV",Ischemic chest pain,1
"Angina, class IV",Pain finding,1
"Angina, class IV",Other forms of angina pectoris,1
Nocturnal angina,Angina,1
Nocturnal angina,Ischemic chest pain,1
Nocturnal angina,Pain finding,1
Status anginosus,Angina,1
Status anginosus,Ischemic chest pain,1
Status anginosus,Pain finding,1
Status anginosus,Other forms of angina pectoris,1
Syncope anginosa,Angina,1
Syncope anginosa,Ischemic chest pain,1
Syncope anginosa,Pain finding,1
Syncope anginosa,Other forms of angina pectoris,1
Acute coronary insufficiency,Pain finding,1
Conduction disorder of the heart disorder,Tictac rhythm,1
Cyanotic congenital heart disease disorder,Cyanosis of skin,1
Cyanotic congenital heart disease disorder,Central cyanosis disorder,1
Congenital aneurysm of aorta,Mass of trunk,1
Congenital koilonychia,Koilonychia,1
Globulomaxillary cyst,Mass of digestive structure,1
Median palatal cyst,Mass of oral cavity,1
Nasolabial cyst,Mass of digestive structure,1
Endemic colic,Colicky pain,1
Gingival polyp,Mass of oral cavity,1
Disorder of oral soft tissues,Palatal myoclonus,1
Disorder of oral soft tissues,Edema of oral soft tissues,1
Disorder of oral soft tissues,Sublingual sialectasia,1
Lymphoepithelial cyst of mouth,Mass of digestive structure,1
Granuloma of lip,Mass of oral cavity,1
Nonulcer dyspepsia disorder,Indigestion symptoms,1
Nonulcer dyspepsia disorder,Indigestion symptom NOS,1
Habit vomiting disorder,Finding of vomiting,1
Habit vomiting disorder,Vomiting symptom,1
Habit vomiting disorder,Uncontrollable vomiting,1
Vomiting in infants ANDOR children,Finding of vomiting,1
Vomiting in infants ANDOR children,Vomiting symptom,1
Vomiting in infants ANDOR children,Vomiting in newborn,1
Druginduced nausea and vomiting,Nausea and vomiting disorder,1
Druginduced nausea and vomiting,Finding of vomiting,1
Druginduced nausea and vomiting,Vomiting symptom,1
Druginduced nausea and vomiting,DDruginduced vomiting,1
Isolated idiopathic granuloma of stomach,Mass of digestive structure,1
Alimentary tract pain due to vascular insufficiency,Pain finding,1
Noninfective diarrhea,Diarrhea symptom,1
Noninfective diarrhea,Loose stool,1
Allergic diarrhea,Diarrhea symptom,1
Allergic diarrhea,Loose stool,1
Dietetic diarrhea,Diarrhea symptom,1
Dietetic diarrhea,Loose stool,1
Granuloma of intestine,Mass of digestive structure,1
Chronic idiopathic constipation,Constipation disorder,1
Chronic idiopathic constipation,Chronic constipation,1
Constipation by outlet obstruction,Constipation disorder,1
Druginduced constipation,Constipation disorder,1
Chronic idiopathic anal pain,Anal pain finding,1
Enterospasm,Bowel spasm,1
Colonospasm disorder,Bowel spasm,1
Bilious vomiting following gastrointestinal surgery,Finding of vomiting,1
Bilious vomiting following gastrointestinal surgery,Vomiting symptom,1
Bilious vomiting following gastrointestinal surgery,Postoperative vomiting,1
Tympanites of cecum,"Flatulence, eructation and gas pain",1
Osmotic diarrhea,Diarrhea symptom,1
Osmotic diarrhea,Loose stool,1
Osmotic diarrhea,Diarrhea due to ingestion of unabsorbable substances,1
Secretory diarrhea,Diarrhea symptom,1
Secretory diarrhea,Loose stool,1
Drug ANDOR toxininduced diarrhea,Diarrhea symptom,1
Drug ANDOR toxininduced diarrhea,Loose stool,1
Disorder of appendix,Appendiceal colic,1
Disorder of appendix,Appendicular colic,1
Idiopathic diffuse ulcerative nongranulomatous enteritis,Diffuse inflammation,1
Postcholecystectomy diarrhea,Diarrhea symptom,1
Postcholecystectomy diarrhea,Loose stool,1
Diarrhea due to alcohol intake,Diarrhea symptom,1
Diarrhea due to alcohol intake,Loose stool,1
Rawmilk associated diarrhea,Diarrhea symptom,1
Rawmilk associated diarrhea,Loose stool,1
Chronic diarrhea of infants ANDOR young children,Diarrhea symptom,1
Chronic diarrhea of infants ANDOR young children,Loose stool,1
Congenital secretory diarrhea,Diarrhea symptom,1
Congenital secretory diarrhea,Loose stool,1
"Congenital secretory diarrhea, chloride type",Diarrhea symptom,1
"Congenital secretory diarrhea, chloride type",Loose stool,1
"Congenital secretory diarrhea, sodium type",Diarrhea symptom,1
"Congenital secretory diarrhea, sodium type",Loose stool,1
Parasitic fibroid,Mass of body region,1
Liver cyst,Mass of digestive structure,1
Recurrent biliary colic,Recurrent abdominal pain,1
Semistarvation,Starvation disorder,1
Hyposmolality,Coordination problem,1
Hypotonic disorder,Coordination problem,1
Disorder of acidbase balance,Hypercapnia disorder,1
Disorder of acidbase balance,Hypocapnia disorder,1
Starvation ketoacidosis,Starvation disorder,1
Hypercapnia with mixed acidbase disorder,Hypercapnia disorder,1
Normosomatic sialidosis,Myoclonic disorder,1
Disorder of bilirubin metabolism,Hepatocellular jaundice,1
Acute cholestatic jaundice syndrome,DJaundice not of newborn,1
Acute cholestatic jaundice syndrome,DJaundice not of newborn NOS,1
Chronic cholestatic jaundice syndrome,DJaundice not of newborn,1
Chronic cholestatic jaundice syndrome,DJaundice not of newborn NOS,1
Cholestasis of pregnancy disorder,Pruritus of pregnancy,1
"Corneal fragility keratoglobus, blue sclerae AND joint hypermobility",Scleral discoloration,1
Dipsogenic diabetes insipidus,Polyuric state,1
Urethral cyst,Mass of urinary system structure,1
Disorder of scrotum,Burning scrotum,1
Disorder of scrotum,Scrotal pruritus,1
Infertility due to complete spermatogenic arrest,Complete spermatogenic arrest,1
Infertility due to incomplete spermatogenic arrest,Incomplete spermatogenic arrest,1
Essential vulvodynia,Pain finding,1
Idiopathic vulvodynia,Pain finding,1
Endometriotic cyst,Pain finding,1
Endometrial cyst of ovary,Pain finding,1
Implanted endometriosis,Pain finding,1
Deciduomatosis,Pain finding,1
Endosalpingiosis,Pain finding,1
Endometriosis of cervix,Pain finding,1
Endometriosis of parametrium,Pain finding,1
Endometriosis of broad ligament,Pain finding,1
Endometriosis of round ligament,Pain finding,1
Endometriosis of the culdesac,Pain finding,1
Endometriosis of rectovaginal septum,Pain finding,1
Endometriosis of vagina,Pain finding,1
Endometriosis of vulva,Pain finding,1
Endometriosis of appendix,Pain finding,1
Endometriosis of colon,Pain finding,1
Endometriosis of rectum,Pain finding,1
Endometriosis of bladder,Pain finding,1
Endometriosis of lung,Pain finding,1
Endometriosis of umbilicus,Pain finding,1
Endometriosis of umbilicus,Disorder of umbilicus,1
Noninflammatory disorder of the female genital organs,Vulvovaginal dryness,1
Cyst of fallopian tube,Mass of uterine adnexa,1
Cyst of broad ligament,Mass of uterine adnexa,1
Cyst of uterus,Mass of female genital structure,1
Cyst of vulva,Perineal lump finding,1
Cyst of vulva,Mass of female genital structure,1
Induration of breast,Other signs and symptoms in breast,1
Oliguria following molar ANDOR ectopic pregnancy,Oliguria finding,1
Eclampsia added to preexisting hypertension,Seizure,1
Hyperemesis gravidarum before end of 22 week gestation with carbohydrate depletion,Hyperemesis gravidarum,1
Hyperemesis gravidarum before end of 22 week gestation with carbohydrate depletion,Finding of vomiting,1
Hyperemesis gravidarum before end of 22 week gestation with carbohydrate depletion,Vomiting symptom,1
Hyperemesis gravidarum before end of 22 week gestation with dehydration,Hyperemesis gravidarum,1
Hyperemesis gravidarum before end of 22 week gestation with dehydration,Finding of vomiting,1
Hyperemesis gravidarum before end of 22 week gestation with dehydration,Vomiting symptom,1
Hyperemesis gravidarum before end of 22 week gestation with electrolyte imbalance,Hyperemesis gravidarum,1
Hyperemesis gravidarum before end of 22 week gestation with electrolyte imbalance,Finding of vomiting,1
Hyperemesis gravidarum before end of 22 week gestation with electrolyte imbalance,Vomiting symptom,1
Vomiting due to organic disease during pregnancy,Finding of vomiting,1
Vomiting due to organic disease during pregnancy,Vomiting symptom,1
Dyscoordinate labor,"Uterine incoordination, first degree",1
Disorder of breast associated with childbirth,Vascular engorgement of breast,1
Perinatal cyanotic attacks,Cyanosis of skin,1
Perinatal cyanotic attacks,Neonatal cyanosis,1
Perinatal respiratory distress,Respiratory distress finding,1
"Fetal and neonatal jaundice, unspecified",Newborn physiological jaundice disorder,1
Fetal ANDOR neonatal jaundice,Newborn physiological jaundice disorder,1
Unspecified fetal or neonatal jaundice NOS,Newborn physiological jaundice disorder,1
LuceyDriscoll syndrome,Newborn physiological jaundice disorder,1
Perinatal jaundice from causes classified elsewhere,Newborn physiological jaundice disorder,1
Diurnal only enuresis,DEnuresis NOS,1
Diurnal only enuresis,Enuresis & bedwetting,1
Diurnal only enuresis,DEnuresis,1
Diurnal only enuresis,Enuresis D,1
Hypothermiasweating syndrome,DOther general symptoms NOS,1
Hypothermiasweating syndrome,DOther general symptoms,1
Aphasialeft parietal lobe syndrome,Other and unspecified symbolic dysfunctions,1
Aphasialeft parietal lobe syndrome,DOther symbolic dysfunction,1
Essential tremor,Static tremor,1
Familial essential myoclonus,Myoclonic disorder,1
Double athetosis,Athetoid movement,1
SangerBrown cerebellar ataxia,Cerebellar ataxia,1
Nothnagels syndrome,Cerebellar ataxia,1
Posthemiplegic athetosis,Athetoid movement,1
Athetosis with rigidity,Athetoid movement,1
Athetosis with spastic paraplegia,Athetoid movement,1
Paralytic syndrome,Paraparesis disorder,1
Paralytic syndromes,Paraparesis disorder,1
Facial hemiplegia,Hemiplegia disorder,1
Facial hemiparesis,Unilateral facial paresis,1
Hemiplegic cerebral palsy disorder,Hemiplegia disorder,1
Lethal neonatal spasticity,Spasticity,1
Spastic syndrome disorder,Spastic dysphonia,1
Cursive seizure,Seizure,1
Cursive running epilepsy,Seizure,1
Cursive seizure,Partial seizure,1
Cursive running epilepsy,Partial seizure,1
Gelastic seizure,Seizure,1
Gelastic seizure,Partial seizure,1
Retropulsion petit mal,Seizure,1
Centrencephalic epilepsy,Seizure,1
Centrencephalic epilepsy,Partial seizure,1
Petit mal status disorder,Seizure,1
Visual epilepsy,Seizure,1
Visceral epilepsy,Seizure,1
Visceral epilepsy,Partial seizure,1
Unclassified epileptic seizures,Seizure,1
Simple partial seizure with somatosensory or special sensory dysfunction,Seizure,1
Simple partial seizure with special sensory symptoms,Seizure,1
Epileptic automatism,Seizure,1
Secondarily generalized seizures,Tonicclonic seizure,1
Secondarily generalized seizures,Grand mal seizure,1
Atonic seizure,Seizure,1
Epileptic drop attack,Seizure,1
Benign focal epilepsy of childhood,Seizure,1
Benign focal epilepsy of childhood,Partial seizure,1
Extratemporal epilepsy,Seizure,1
Extratemporal epilepsy,Partial seizure,1
Idiopathic generalized epilepsy disorder,Seizure,1
Benign neonatal convulsions,Seizure,1
Juvenile myoclonic epilepsy,Seizure,1
Symptomatic generalized epilepsy,Seizure,1
Early myoclonic encephalopathy disorder,Myoclonic disorder,1
Reflex epilepsy,Seizure,1
Abdominal migraine,Abdominal migraine  symptom,1
Lower half migraine,Headache finding,1
Basilar migraine,Headache finding,1
Basilar migraine,Subjective vertigo,1
Retinal migraine,Headache finding,1
Hemiplegic migraine,Headache finding,1
Facial myokymia,Myokymia finding,1
Alternating hypoglossal hemiplegia,Hemiplegia disorder,1
Hypoglossalpyramid syndrome,Hemiplegia disorder,1
Myotonia acquisita,Spasm finding,1
Juvenile cerebellar degeneration AND myoclonus,Myoclonic disorder,1
Illdefined disorder of eye,Red eye,1
Pseudocyst of retina,Mass of eye structure,1
Pseudocyst of retina,Swelling of structure of eye,1
Concentric fading of visual field,Subjective visual disturbance,1
Refractive polyopia,Monocular diplopia,1
Impairment level of both eyes,Impairment level: low vision of both eyes,1
Impairment level of both eyes,"Low vision, both eyes",1
Blindness of one eye,Painful blind eye,1
Corneal anesthesia finding,Absence of sensation finding,1
Acquired blepharophimosis,Narrowing of palpebral fissure,1
Pendular nystagmus,Oculopalatal myoclonus,1
Vitreous liquifaction disorder,Vitreous cavitation,1
Diffuse otitis externa,Diffuse inflammation,1
Vertiginous syndrome,Subjective vertigo,1
Vertiginous syndrome,Multisensory dizziness,1
Vertiginous syndrome,Vertigo preceded by head injury,1
Vertiginous syndrome,Druginduced vertigo,1
Diffuse labyrinthitis,Diffuse inflammation,1
Disharmonic diplacusis,Diplacusis,1
Echo diplacusis,Diplacusis,1
Recruitment,Loudness recruitment,1
Isosexual virilization,Virilization finding,1
Adult myxedema,Hard edema,1
Anemia due to starvation,Starvation disorder,1
Hemoglobinopathy with cyanosis,Cyanosis of skin,1
Hemoglobinopathy with cyanosis,Central cyanosis disorder,1
Stokvis disease,Cyanosis of skin,1
Cold erythema associated with cryoglobulin,Erythema of skin,1
Cold erythema associated with cryoglobulin,Erythematous condition,1
Cold erythema associated with cold agglutinins,Erythema of skin,1
Cold erythema associated with cold agglutinins,Erythematous condition,1
Cold erythema associated with hemolysins,Erythema of skin,1
Cold erythema associated with hemolysins,Erythematous condition,1
Tonsillar tag,Mass of respiratory structure,1
Tonsillar tag,Mass of digestive structure,1
Splenic cyst,Mass of lymphoreticular structure,1
Urticarial reaction to blood product,Immune complex urticaria,1
Urticarial transfusion reaction,Immune complex urticaria,1
Enanthematous infectious disease,Mucous membrane eruption,1
Pintid,Macule morphologic abnormality,1
Erythematous plaques of pinta,Erythema of skin,1
Erythematous pinta plaque,Erythema of skin,1
Erythematous plaques of pinta,Erythematous condition,1
Erythematous pinta plaque,Erythematous condition,1
Vitiligo of pinta,Achromia of skin disorder,1
Syphilitic gumma of central nervous system,Gummatous inflammation morphologic abnormality,1
Bovine winter dysentery,Diarrhea symptom,1
Bovine coronoviral diarrhea,Diarrhea symptom,1
Bovine winter dysentery,Loose stool,1
Bovine coronoviral diarrhea,Loose stool,1
Yaws gumma of bone,Gummatous inflammation morphologic abnormality,1
Gummatous osteitis of yaws,Gummatous inflammation morphologic abnormality,1
Gummatous periostitis of yaws,Gummatous inflammation morphologic abnormality,1
Juxtaarticular yaws nodules,Mass of musculoskeletal structure,1
Neonatal calf diarrhea,Diarrhea symptom,1
Neonatal calf diarrhea,Loose stool,1
Epidemic diarrheal disease of infant mouse disorder,Diarrhea symptom,1
Epidemic diarrheal disease of infant mouse disorder,Loose stool,1
Coronaviral calf diarrhea,Diarrhea symptom,1
Coronaviral calf diarrhea,Loose stool,1
Dyspnea associated with AIDS,Difficulty breathing,1
AIDS with fatigue,Fatigue associated with AIDS,1
AIDS with hepatomegaly,Hepatomegaly associated with AIDS,1
AIDS with malaise,Malaise associated with AIDS,1
Coccidioidomycosis with erythema multiforme,Erythema of skin,1
Coccidioidomycosis with erythema multiforme,Erythematous condition,1
Cutaneous sporotrichosis,Sporotrichotic chancre,1
Epidemic cervical myalgia,Pain finding,1
Dysenteric diarrhea,Diarrhea symptom,1
Dysenteric diarrhea,Loose stool,1
Epidemic diarrhea,Diarrhea symptom,1
Epidemic diarrhea,Loose stool,1
Travelers diarrhea,Diarrhea symptom,1
Travelers diarrhea,Loose stool,1
Bradylalia,DOther speech disturbance NOS,1
Bradylalia,DOther speech disturbance,1
Crossed hemiplegia,Hemiplegia disorder,1
Alternating hemiplegia,Hemiplegia disorder,1
Cerebral hemiplegia,Hemiplegia disorder,1
Spinal hemiplegia,Hemiplegia disorder,1
Crossed reflex,Crossed extensor reflex,1
Static ataxia,Ataxia finding,1
Static ataxia,Coordination problem,1
Long atonic seizure,Seizure,1
Akinetic seizure without atonia,Seizure,1
Visual seizure,Seizure,1
Visual seizure,Partial seizure,1
Pattern sensitive seizure,Seizure,1
Gustatory seizure,Seizure,1
Gustatory seizure,Partial seizure,1
Reading seizure,Seizure,1
Movement partial seizure,Seizure,1
Startle partial seizure,Seizure,1
Abdominal seizure,Seizure,1
Musicogenic seizure,Seizure,1
Partial seizure with impaired consciousness,Seizure,1
Partial seizure with impaired consciousness,Partial seizure,1
Ideational partial seizure,Seizure,1
Partial seizure with illusions and hallucinations,Seizure,1
Partial seizure with illusions and hallucinations,Partial seizure,1
Partial seizure with multiple symptoms,Seizure,1
Partial seizure with multiple symptoms,Partial seizure,1
Muscular asthenopia,Visual discomfort,1
Nervous asthenopia,Visual discomfort,1
Swelling of skeletal muscle,Swelling of limb finding,1
Swelling of skeletal muscle,Swelling of musculoskeletal structure,1
Actinic reticuloid disorder,Persistent light reaction,1
Idiopathic livedo reticularis with systemic involvement,Pale complexion,1
Hypersensitivity reaction mediated by immune complex,Immune complex urticaria,1
Hypersensitivity reaction mediated by immune complex,Urticarial vasculitis disorder,1
Alcohol hallucinosis,Alcohol induced hallucinations,1
Alcohol withdrawal hallucinosis,Alcohol induced hallucinations,1
Chronic vascular insufficiency of intestine,Abdominal angina,1
Chronic vascular insufficiency of intestine,Intestinal angina,1
Hill diarrhea,Diarrhea symptom,1
Hill diarrhea,Loose stool,1
Postvagotomy syndrome,Diarrhea symptom,1
Postvagotomy diarrhea,Diarrhea symptom,1
Postvagotomy syndrome,Loose stool,1
Postvagotomy diarrhea,Loose stool,1
External endometriosis disorder,Pain finding,1
Generalizedonset seizures,Seizure,1
Generalizedonset seizures,Tonic seizure,1
Grand mal status,Seizure,1
Lymphoid hyperplasia,Persistent light reaction,1
Acute cerebellar ataxia due to varicella,Cerebellar ataxia,1
NonAlzheimers progressive dysphasia,DOther speech disturbance NOS,1
NonAlzheimers progressive dysphasia,DOther speech disturbance,1
Sandifer syndrome disorder,Wry necktorticollis,1
Idiopathic myoclonic epilepsy,Seizure,1
Cryptogenic myoclonic epilepsy,Seizure,1
Symptomatic myoclonic epilepsy,Seizure,1
Migraine without aura,Headache finding,1
Ophthalmic migraine,Headache finding,1
Migraine with prolonged aura,Headache finding,1
Complicated migraine,Headache finding,1
Familial hemiplegic migraine,Headache finding,1
Nonfamilial hemiplegic migraine,Headache finding,1
Migraine aura without headache,Headache finding,1
Status migrainosus,Headache finding,1
Migraine with ischemic complication,Headache finding,1
Congenital nuclear ophthalmoplegia,Ophthalmoplegia disorder,1
Superior laryngeal neuralgia,Pain finding,1
Intercostal postherpetic neuralgia,Pain finding,1
Psychogenic genitourinary tract symptoms,Psychic dysuria,1
Diffuse stromal keratoconjunctivitis,Diffuse inflammation,1
Diabetic maculopathy,OE  right eye diabetic maculopathy,1
Diabetic maculopathy,OE  left eye diabetic maculopathy,1
Preproliferative diabetic retinopathy disorder,OE  right eye preproliferative diabetic retinopathy,1
Preproliferative diabetic retinopathy disorder,OE  left eye preproliferative diabetic retinopathy,1
Anomaly of vergence system,Anomaly of divergence,1
Relative afferent pupil defect finding,Abnormal reflex,1
Partial sight  both eyes,Impairment level: low vision of both eyes,1
Partial sight  both eyes,"Low vision, both eyes",1
"Better eye: severe visual impairment, Lesser eye: low vision unspecified",Impairment level: low vision of both eyes,1
"Better eye: severe visual impairment, Lesser eye: low vision unspecified","Low vision, both eyes",1
Cyst of nasal cavity,Mass of respiratory structure,1
Nasal septal hematoma,Mass of respiratory structure,1
Endometriosis of pleura,Pain finding,1
Druginduced acute pulmonary edema,Acute edema,1
Toxic pulmonary edema,Acute edema,1
Chemicalinduced pulmonary edema,Acute edema,1
Oxygeninduced pulmonary edema,Acute edema,1
Lofgrens syndrome,Mass of lymphoreticular structure,1
Bilateral hilar adenopathy syndrome,Mass of lymphoreticular structure,1
Lofgrens syndrome,Mass of trunk,1
Bilateral hilar adenopathy syndrome,Mass of trunk,1
Infected bronchogenic cyst,Mass of respiratory structure,1
Stable angina disorder,Angina,1
Stable angina disorder,Ischemic chest pain,1
Stable angina disorder,Pain finding,1
Stable angina disorder,Other forms of angina pectoris,1
New onset angina,Angina,1
New onset angina,Ischemic chest pain,1
New onset angina,Pain finding,1
New onset angina,Other forms of angina pectoris,1
Pulmonary capillary hemangiomatosis,Mass of respiratory structure,1
Pulmonary capillary hemangiomatosis,Mass of cardiovascular structure,1
Simple faint,Syncope symptom,1
Simple faint,Syncope and collapse,1
Neurallymediated syncope,Syncope symptom,1
Neurallymediated syncope,Syncope and collapse,1
Malignant vasovagal syndrome,Syncope symptom,1
Malignant vasovagal syndrome,Syncope and collapse,1
Elderly vasovagal syndrome,Syncope symptom,1
Elderly vasovagal syndrome,Syncope and collapse,1
Situational syncope,Syncope symptom,1
Situational syncope,Syncope and collapse,1
Situational syncope,Effort syncope,1
Defecation syncope,Syncope symptom,1
Defecation syncope,Syncope and collapse,1
Deglutition syncope,Syncope symptom,1
Deglutition syncope,Syncope and collapse,1
Syphilitic gumma of oral cavity,Gummatous inflammation morphologic abnormality,1
Oral erythematous candidiasis,Erythema of skin,1
Oral erythematous candidiasis,Erythematous condition,1
Other functional disorder of the intestine NOS,Absent peristalsis,1
Other functional disorders of the intestine,Absent peristalsis,1
Hamartoma of stomach,Mass of digestive structure,1
Food intolerance NEC,Food intolerance,1
Appendix mass,Mass of digestive structure,1
Irritable bowel syndrome variant of childhood with constipation,Constipation disorder,1
Vulval warts,Mass of female genital structure,1
Endometriosis of myometrium,Pain finding,1
Endometriosis interna,Pain finding,1
Eclampsia in labor,Seizure,1
Nipple infection,Purulent nipple discharge,1
Druginduced virilization,Virilization finding,1
Severe systemic illness tissue wasting,Cachexia finding,1
Severe systemic illnessinduced skeletal muscle wasting,Cachexia finding,1
Disorder of blood gas,Hypercapnia disorder,1
Disorder of blood gas,Hypocapnia disorder,1
Disorder of blood gas,Hyperoxia disorder,1
Macula cerulea,Macular eruption,1
Maculae ceruleae,Macular eruption,1
Macula cerulea,Macule morphologic abnormality,1
Maculae ceruleae,Macule morphologic abnormality,1
Symptomatic dermographism,Urticaria geographica,1
Physical urticaria,Urticaria geographica,1
Dermatographic urticaria,Urticaria geographica,1
Symptomatic dermographism,Delayed dermographism,1
Physical urticaria,Delayed dermographism,1
Dermatographic urticaria,Delayed dermographism,1
Symptomatic dermographism,Reflex urticaria,1
Physical urticaria,Reflex urticaria,1
Dermatographic urticaria,Reflex urticaria,1
Giant cell arteritis with polymyalgia rheumatica,Pain finding,1
Painful arc syndrome,Pain finding,1
Ganglion of ankle,Mass of lower limb,1
Algodystrophy of foot,Pain finding,1
Algodystrophy of knee,Pain finding,1
Algodystrophy of hand,Pain finding,1
Erythema nodosum leprosum,Erythema of skin,1
Erythema nodosum leprosum,Erythematous condition,1
Macular syphilide,Macular eruption,1
Pustular syphilide,Pustular rash morphologic abnormality,1
Gummatous neurosyphilis,Gummatous inflammation morphologic abnormality,1
Anal warts,Mass of digestive structure,1
Perianal warts,Perianal lump,1
Donovanosis  inguinal lesion,Groin mass,1
Cachexia associated with AIDS,Cachexia finding,1
Achromic skin lesions of pinta,Achromia of skin disorder,1
Pheohyphomycotic subcutaneous cyst,Mass of body region,1
Hepatic schistosomal granuloma,Mass of digestive structure,1
Horizontal spasm of gaze,Spasm of conjugate gaze,1
Pleuropericardial cyst,Mass of cardiovascular structure,1
Liver hematoma,Mass of digestive structure,1
Spastic foot,Spastic hemiplegia or spastic foot,1
Psychosensory epilepsy,Seizure,1
Somatosensory epilepsy,Seizure,1
"Neuralgia, neuritis and radiculitis unspecified",Neuropathic pain,1
"Neuralgia, neuritis and radiculitis unspecified",Femoral neuralgia,1
"Neuralgia, neuritis and radiculitis unspecified",Reminiscent neuralgia,1
"Neuralgia, neuritis and radiculitis unspecified",Radicular pain,1
"Neuralgia, neuritis and radiculitis unspecified",Sympathetically maintained pain,1
"Neuralgia, neuritis and radiculitis unspecified",Obturator neuralgia,1
"Neuralgia, neuritis and radiculitis unspecified",Segmental peripheral neuralgia,1
"Neuralgia, neuritis and radiculitis unspecified",Neurogenic pain,1
"Neuralgia, neuritis and radiculitis unspecified",Sympathetically independent pain,1
"Neuralgia, neuritis and radiculitis unspecified",Unilateral shortlasting neuralgiform pain with conjunctival injection and tearing syndrome,1
"Neuralgia, neuritis and radiculitis unspecified",Peripheral neurogenic pain,1
"Neuralgia, neuritis and radiculitis unspecified",Peripheral neuropathic pain,1
"Neuralgia, neuritis or radiculitis NOS",Neuropathic pain,1
Other psychophysical visual disturbance,Subjective visual disturbance,1
Other specified cardiac arrhythmias,Pulsus trigeminus finding,1
Other specified cardiac arrhythmias,Labile pulse,1
Other specified cardiac arrhythmias,Bigeminal pulse finding,1
Other specified diseases of oesophagus,Pain in esophagus,1
Other specified diseases of esophagus,Pain in esophagus,1
Other specified diseases of oesophagus,Absent deglutition finding,1
Other specified diseases of esophagus,Absent deglutition finding,1
Other specified diseases of anus and rectum,Anal twitching,1
Other specified diseases of liver,Liver pain finding,1
Other specified liver disorder,Liver pain finding,1
Other specified liver disorder NOS,Liver pain finding,1
Other specified diseases of liver,Hepatocellular jaundice,1
Other specified liver disorder,Hepatocellular jaundice,1
Other specified liver disorder NOS,Hepatocellular jaundice,1
Nonorganic insomnia,Insomnia disorder,1
Umbilical sepsis,Disorder of umbilicus,1
Hypoglossal neuralgia,Pain finding,1
Amaurosis disorder,Amaurosis fugax,1
Premenstrual tension syndrome,Symptom occurs premenstrually,1
Premenstrual tension syndrome,Premenstrual symptom,1
Premenstrual tension syndrome,Premenstrual swelling,1
Premenstrual tension syndrome,Premenstrual breast tenderness,1
Painful ophthalmoplegia,Ophthalmoplegia disorder,1
Painful ophthalmoplegia,Pain finding,1
Acrodermatitis continua,Pustular rash morphologic abnormality,1
Infantile hemiplegia,Hemiplegia disorder,1
Impairment level: better eye: moderate impairment: lesser eye: not further specified,Impairment level: low vision of both eyes,1
Impairment level: better eye: moderate impairment: lesser eye: not further specified,"Low vision, both eyes",1
Abnormal involuntary movement,Athetoid movement,1
Abnormal involuntary movement,Clonus,1
Abnormal involuntary movement,Muscle fasciculation,1
Abnormal involuntary movement,Spasticity,1
Abnormal involuntary movement,Spasm finding,1
Abnormal involuntary movement,Tremor finding,1
Abnormal involuntary movement,Opisthotonus finding,1
Abnormal involuntary movement,Local spasm,1
Abnormal involuntary movement,Muscle twitch finding,1
Abnormal involuntary movement,Synkinesis finding,1
Abnormal involuntary movement,Trembles,1
Abnormal involuntary movement,Persistent tremor,1
