disease,symptom
Congenital aneurysm of aorta,Mass of trunk
Congenital koilonychia,Koilonychia
Globulo-maxillary cyst,Mass of digestive structure
Median palatal cyst,Mass of oral cavity
Naso-labial cyst,Mass of digestive structure
Endemic colic,Colicky pain
Gingival polyp,Mass of oral cavity
Disorder of oral soft tissues,Palatal myoclonus
Disorder of oral soft tissues,Edema of oral soft tissues
Disorder of oral soft tissues,Sublingual sialectasia
Lymphoepithelial cyst of mouth,Mass of digestive structure
Granuloma of lip,Mass of oral cavity
Nonulcer dyspepsia (disorder),Indigestion symptoms
Nonulcer dyspepsia (disorder),Indigestion symptom NOS
Habit vomiting (disorder),Finding of vomiting
Habit vomiting (disorder),Vomiting symptom
Habit vomiting (disorder),Uncontrollable vomiting
Vomiting in infants AND/OR children,Finding of vomiting
Vomiting in infants AND/OR children,Vomiting symptom
Vomiting in infants AND/OR children,Vomiting in newborn
Drug-induced nausea and vomiting,Nausea and vomiting (disorder)
Drug-induced nausea and vomiting,Finding of vomiting
Drug-induced nausea and vomiting,Vomiting symptom
Drug-induced nausea and vomiting,[D]Drug-induced vomiting
Isolated idiopathic granuloma of stomach,Mass of digestive structure
Alimentary tract pain due to vascular insufficiency,Pain (finding)
Non-infective diarrhea,Diarrhea symptom
Non-infective diarrhea,Loose stool
Allergic diarrhea,Diarrhea symptom
Allergic diarrhea,Loose stool
Dietetic diarrhea,Diarrhea symptom
Dietetic diarrhea,Loose stool
Granuloma of intestine,Mass of digestive structure
Chronic idiopathic constipation,Constipation (disorder)
Chronic idiopathic constipation,Chronic constipation
Constipation by outlet obstruction,Constipation (disorder)
Drug-induced constipation,Constipation (disorder)
Chronic idiopathic anal pain,Anal pain (finding)
Enterospasm,Bowel spasm
Colonospasm (disorder),Bowel spasm
Bilious vomiting following gastrointestinal surgery,Finding of vomiting
Bilious vomiting following gastrointestinal surgery,Vomiting symptom
Bilious vomiting following gastrointestinal surgery,Postoperative vomiting
Tympanites of cecum,"Flatulence, eructation and gas pain"
Osmotic diarrhea,Diarrhea symptom
Osmotic diarrhea,Loose stool
Osmotic diarrhea,Diarrhea due to ingestion of unabsorbable substances
Secretory diarrhea,Diarrhea symptom
Secretory diarrhea,Loose stool
Drug AND/OR toxin-induced diarrhea,Diarrhea symptom
Drug AND/OR toxin-induced diarrhea,Loose stool
Disorder of appendix,Appendiceal colic
Disorder of appendix,Appendicular colic
Idiopathic diffuse ulcerative nongranulomatous enteritis,Diffuse inflammation
Postcholecystectomy diarrhea,Diarrhea symptom
Postcholecystectomy diarrhea,Loose stool
Diarrhea due to alcohol intake,Diarrhea symptom
Diarrhea due to alcohol intake,Loose stool
Raw-milk associated diarrhea,Diarrhea symptom
Raw-milk associated diarrhea,Loose stool
Chronic diarrhea of infants AND/OR young children,Diarrhea symptom
Chronic diarrhea of infants AND/OR young children,Loose stool
Congenital secretory diarrhea,Diarrhea symptom
Congenital secretory diarrhea,Loose stool
"Congenital secretory diarrhea, chloride type",Diarrhea symptom
"Congenital secretory diarrhea, chloride type",Loose stool
"Congenital secretory diarrhea, sodium type",Diarrhea symptom
"Congenital secretory diarrhea, sodium type",Loose stool
Parasitic fibroid,Mass of body region
Liver cyst,Mass of digestive structure
Recurrent biliary colic,Recurrent abdominal pain
Semi-starvation,Starvation (disorder)
Hyposmolality,Coordination problem
Hypotonic disorder,Coordination problem
Disorder of acid-base balance,Hypercapnia (disorder)
Disorder of acid-base balance,Hypocapnia (disorder)
Starvation ketoacidosis,Starvation (disorder)
Hypercapnia with mixed acid-base disorder,Hypercapnia (disorder)
Normosomatic sialidosis,Myoclonic disorder
Disorder of bilirubin metabolism,Hepatocellular jaundice
Acute cholestatic jaundice syndrome,[D]Jaundice (not of newborn)
Acute cholestatic jaundice syndrome,[D]Jaundice (not of newborn) NOS
Chronic cholestatic jaundice syndrome,[D]Jaundice (not of newborn)
Chronic cholestatic jaundice syndrome,[D]Jaundice (not of newborn) NOS
Cholestasis of pregnancy (disorder),Pruritus of pregnancy
"Corneal fragility keratoglobus, blue sclerae AND joint hypermobility",Scleral discoloration
Dipsogenic diabetes insipidus,Polyuric state
Urethral cyst,Mass of urinary system structure
Disorder of scrotum,Burning scrotum
Disorder of scrotum,Scrotal pruritus
Infertility due to complete spermatogenic arrest,Complete spermatogenic arrest
Infertility due to incomplete spermatogenic arrest,Incomplete spermatogenic arrest
Essential vulvodynia,Pain (finding)
Idiopathic vulvodynia,Pain (finding)
Endometriotic cyst,Pain (finding)
Endometrial cyst of ovary,Pain (finding)
Implanted endometriosis,Pain (finding)
Deciduomatosis,Pain (finding)
Endosalpingiosis,Pain (finding)
Endometriosis of cervix,Pain (finding)
Endometriosis of parametrium,Pain (finding)
Endometriosis of broad ligament,Pain (finding)
Endometriosis of round ligament,Pain (finding)
Endometriosis of the cul-de-sac,Pain (finding)
Endometriosis of rectovaginal septum,Pain (finding)
Endometriosis of vagina,Pain (finding)
Endometriosis of vulva,Pain (finding)
Endometriosis of appendix,Pain (finding)
Endometriosis of colon,Pain (finding)
Endometriosis of rectum,Pain (finding)
Endometriosis of bladder,Pain (finding)
Endometriosis of lung,Pain (finding)
Endometriosis of umbilicus,Pain (finding)
Endometriosis of umbilicus,Disorder of umbilicus
Noninflammatory disorder of the female genital organs,Vulvovaginal dryness
Cyst of fallopian tube,Mass of uterine adnexa
Cyst of broad ligament,Mass of uterine adnexa
Cyst of uterus,Mass of female genital structure
Cyst of vulva,Perineal lump (finding)
Cyst of vulva,Mass of female genital structure
Induration of breast,[X]Other signs and symptoms in breast
Oliguria following molar AND/OR ectopic pregnancy,Oliguria (finding)
Eclampsia added to pre-existing hypertension,Seizure
Hyperemesis gravidarum before end of 22 week gestation with carbohydrate depletion,Hyperemesis gravidarum
Hyperemesis gravidarum before end of 22 week gestation with carbohydrate depletion,Finding of vomiting
Hyperemesis gravidarum before end of 22 week gestation with carbohydrate depletion,Vomiting symptom
Hyperemesis gravidarum before end of 22 week gestation with dehydration,Hyperemesis gravidarum
Hyperemesis gravidarum before end of 22 week gestation with dehydration,Finding of vomiting
Hyperemesis gravidarum before end of 22 week gestation with dehydration,Vomiting symptom
Hyperemesis gravidarum before end of 22 week gestation with electrolyte imbalance,Hyperemesis gravidarum
Hyperemesis gravidarum before end of 22 week gestation with electrolyte imbalance,Finding of vomiting
Hyperemesis gravidarum before end of 22 week gestation with electrolyte imbalance,Vomiting symptom
Vomiting due to organic disease during pregnancy,Finding of vomiting
Vomiting due to organic disease during pregnancy,Vomiting symptom
Dyscoordinate labor,"Uterine incoordination, first degree"
Disorder of breast associated with childbirth,Vascular engorgement of breast
Perinatal cyanotic attacks,Cyanosis of skin
Perinatal cyanotic attacks,Neonatal cyanosis
Perinatal respiratory distress,Respiratory distress (finding)
"Fetal and neonatal jaundice, unspecified",Newborn physiological jaundice (disorder)
Fetal AND/OR neonatal jaundice,Newborn physiological jaundice (disorder)
Unspecified fetal or neonatal jaundice NOS,Newborn physiological jaundice (disorder)
Lucey-Driscoll syndrome,Newborn physiological jaundice (disorder)
Perinatal jaundice from causes classified elsewhere,Newborn physiological jaundice (disorder)
Diurnal only enuresis,[D]Enuresis NOS
Diurnal only enuresis,Enuresis (& [bedwetting])
Diurnal only enuresis,[D]Enuresis
Diurnal only enuresis,Enuresis [D]
Hypothermia-sweating syndrome,[D]Other general symptoms NOS
Hypothermia-sweating syndrome,[D]Other general symptoms
Aphasia-left parietal lobe syndrome,[X]Other and unspecified symbolic dysfunctions
Aphasia-left parietal lobe syndrome,[D]Other symbolic dysfunction
Essential tremor,Static tremor
Familial essential myoclonus,Myoclonic disorder
Double athetosis,Athetoid movement
Sanger-Brown cerebellar ataxia,Cerebellar ataxia
Nothnagel's syndrome,Cerebellar ataxia
Posthemiplegic athetosis,Athetoid movement
Athetosis with rigidity,Athetoid movement
Athetosis with spastic paraplegia,Athetoid movement
Paralytic syndrome,Paraparesis (disorder)
Paralytic syndromes,Paraparesis (disorder)
Facial hemiplegia,Hemiplegia (disorder)
Facial hemiparesis,Unilateral facial paresis
Hemiplegic cerebral palsy (disorder),Hemiplegia (disorder)
Lethal neonatal spasticity,Spasticity
Spastic syndrome (disorder),Spastic dysphonia
Cursive seizure,Seizure
Cursive (running) epilepsy,Seizure
Cursive seizure,Partial seizure
Cursive (running) epilepsy,Partial seizure
Gelastic seizure,Seizure
Gelastic seizure,Partial seizure
Retropulsion petit mal,Seizure
Centrencephalic epilepsy,Seizure
Centrencephalic epilepsy,Partial seizure
Petit mal status (disorder),Seizure
Visual epilepsy,Seizure
Visceral epilepsy,Seizure
Visceral epilepsy,Partial seizure
Unclassified epileptic seizures,Seizure
Simple partial seizure with somatosensory or special sensory dysfunction,Seizure
Simple partial seizure with special sensory symptoms,Seizure
Epileptic automatism,Seizure
Secondarily generalized seizures,Tonic-clonic seizure
Secondarily generalized seizures,Grand mal seizure
Atonic seizure,Seizure
Epileptic drop attack,Seizure
Benign focal epilepsy of childhood,Seizure
Benign focal epilepsy of childhood,Partial seizure
Extratemporal epilepsy,Seizure
Extratemporal epilepsy,Partial seizure
Idiopathic generalized epilepsy (disorder),Seizure
Benign neonatal convulsions,Seizure
Juvenile myoclonic epilepsy,Seizure
Symptomatic generalized epilepsy,Seizure
Early myoclonic encephalopathy (disorder),Myoclonic disorder
Reflex epilepsy,Seizure
Abdominal migraine,Abdominal migraine - symptom
Lower half migraine,Headache (finding)
Basilar migraine,Headache (finding)
Basilar migraine,Subjective vertigo
Retinal migraine,Headache (finding)
Hemiplegic migraine,Headache (finding)
Facial myokymia,Myokymia (finding)
Alternating hypoglossal hemiplegia,Hemiplegia (disorder)
Hypoglossal-pyramid syndrome,Hemiplegia (disorder)
Myotonia acquisita,Spasm (finding)
Juvenile cerebellar degeneration AND myoclonus,Myoclonic disorder
Ill-defined disorder of eye,Red eye
Pseudocyst of retina,Mass of eye structure
Pseudocyst of retina,Swelling of structure of eye
Concentric fading of visual field,Subjective visual disturbance
Refractive polyopia,Monocular diplopia
Impairment level of both eyes,Impairment level: low vision of both eyes
Impairment level of both eyes,"Low vision, both eyes"
Blindness of one eye,Painful blind eye
Corneal anesthesia (finding),Absence of sensation (finding)
Acquired blepharophimosis,Narrowing of palpebral fissure
Pendular nystagmus,Oculopalatal myoclonus
Vitreous liquifaction (disorder),Vitreous cavitation
Diffuse otitis externa,Diffuse inflammation
Vertiginous syndrome,Subjective vertigo
Vertiginous syndrome,Multisensory dizziness
Vertiginous syndrome,Vertigo preceded by head injury
Vertiginous syndrome,Drug-induced vertigo
Diffuse labyrinthitis,Diffuse inflammation
Disharmonic diplacusis,Diplacusis
Echo diplacusis,Diplacusis
Recruitment,Loudness recruitment
Isosexual virilization,Virilization (finding)
Adult myxedema,Hard edema
Anemia due to starvation,Starvation (disorder)
Hemoglobinopathy with cyanosis,Cyanosis of skin
Hemoglobinopathy with cyanosis,Central cyanosis (disorder)
Stokvis' disease,Cyanosis of skin
Cold erythema associated with cryoglobulin,Erythema of skin
Cold erythema associated with cryoglobulin,Erythematous condition
Cold erythema associated with cold agglutinins,Erythema of skin
Cold erythema associated with cold agglutinins,Erythematous condition
Cold erythema associated with hemolysins,Erythema of skin
Cold erythema associated with hemolysins,Erythematous condition
Tonsillar tag,Mass of respiratory structure
Tonsillar tag,Mass of digestive structure
Splenic cyst,Mass of lymphoreticular structure
Urticarial reaction to blood product,Immune complex urticaria
Urticarial transfusion reaction,Immune complex urticaria
Enanthematous infectious disease,Mucous membrane eruption
Pintid,Macule (morphologic abnormality)
Erythematous plaques of pinta,Erythema of skin
Erythematous pinta plaque,Erythema of skin
Erythematous plaques of pinta,Erythematous condition
Erythematous pinta plaque,Erythematous condition
Vitiligo of pinta,Achromia of skin (disorder)
Syphilitic gumma of central nervous system,Gummatous inflammation (morphologic abnormality)
Bovine winter dysentery,Diarrhea symptom
Bovine coronoviral diarrhea,Diarrhea symptom
Bovine winter dysentery,Loose stool
Bovine coronoviral diarrhea,Loose stool
Yaws gumma of bone,Gummatous inflammation (morphologic abnormality)
Gummatous osteitis of yaws,Gummatous inflammation (morphologic abnormality)
Gummatous periostitis of yaws,Gummatous inflammation (morphologic abnormality)
Juxta-articular yaws nodules,Mass of musculoskeletal structure
Neonatal calf diarrhea,Diarrhea symptom
Neonatal calf diarrhea,Loose stool
Epidemic diarrheal disease of infant mouse (disorder),Diarrhea symptom
Epidemic diarrheal disease of infant mouse (disorder),Loose stool
Coronaviral calf diarrhea,Diarrhea symptom
Coronaviral calf diarrhea,Loose stool
Dyspnea associated with AIDS,Difficulty breathing
AIDS with fatigue,Fatigue associated with AIDS
AIDS with hepatomegaly,Hepatomegaly associated with AIDS
AIDS with malaise,Malaise associated with AIDS
Coccidioidomycosis with erythema multiforme,Erythema of skin
Coccidioidomycosis with erythema multiforme,Erythematous condition
Cutaneous sporotrichosis,Sporotrichotic chancre
Epidemic cervical myalgia,Pain (finding)
Dysenteric diarrhea,Diarrhea symptom
Dysenteric diarrhea,Loose stool
Epidemic diarrhea,Diarrhea symptom
Epidemic diarrhea,Loose stool
Traveler's diarrhea,Diarrhea symptom
Traveler's diarrhea,Loose stool
Bradylalia,[D]Other speech disturbance NOS
Bradylalia,[D]Other speech disturbance
Crossed hemiplegia,Hemiplegia (disorder)
Alternating hemiplegia,Hemiplegia (disorder)
Cerebral hemiplegia,Hemiplegia (disorder)
Spinal hemiplegia,Hemiplegia (disorder)
Crossed reflex,Crossed extensor reflex
Static ataxia,Ataxia (finding)
Static ataxia,Coordination problem
Long atonic seizure,Seizure
Akinetic seizure without atonia,Seizure
Visual seizure,Seizure
Visual seizure,Partial seizure
Pattern sensitive seizure,Seizure
Gustatory seizure,Seizure
Gustatory seizure,Partial seizure
Reading seizure,Seizure
Movement partial seizure,Seizure
Startle partial seizure,Seizure
Abdominal seizure,Seizure
Musicogenic seizure,Seizure
Partial seizure with impaired consciousness,Seizure
Partial seizure with impaired consciousness,Partial seizure
Ideational partial seizure,Seizure
Partial seizure with illusions and hallucinations,Seizure
Partial seizure with illusions and hallucinations,Partial seizure
Partial seizure with multiple symptoms,Seizure
Partial seizure with multiple symptoms,Partial seizure
Muscular asthenopia,Visual discomfort
Nervous asthenopia,Visual discomfort
Swelling of skeletal muscle,Swelling of limb (finding)
Swelling of skeletal muscle,Swelling of musculoskeletal structure
Actinic reticuloid (disorder),Persistent light reaction
Idiopathic livedo reticularis with systemic involvement,Pale complexion
Hypersensitivity reaction mediated by immune complex,Immune complex urticaria
Hypersensitivity reaction mediated by immune complex,Urticarial vasculitis (disorder)
Alcohol hallucinosis,Alcohol induced hallucinations
Alcohol withdrawal hallucinosis,Alcohol induced hallucinations
Chronic vascular insufficiency of intestine,Abdominal angina
Chronic vascular insufficiency of intestine,Intestinal angina
Hill diarrhea,Diarrhea symptom
Hill diarrhea,Loose stool
Post-vagotomy syndrome,Diarrhea symptom
Post-vagotomy diarrhea,Diarrhea symptom
Post-vagotomy syndrome,Loose stool
Post-vagotomy diarrhea,Loose stool
External endometriosis (disorder),Pain (finding)
Generalized-onset seizures,Seizure
Generalized-onset seizures,Tonic seizure
Grand mal status,Seizure
Lymphoid hyperplasia,Persistent light reaction
Acute cerebellar ataxia due to varicella,Cerebellar ataxia
Non-Alzheimer's progressive dysphasia,[D]Other speech disturbance NOS
Non-Alzheimer's progressive dysphasia,[D]Other speech disturbance
Sandifer syndrome (disorder),Wry neck/torticollis
Idiopathic myoclonic epilepsy,Seizure
Cryptogenic myoclonic epilepsy,Seizure
Symptomatic myoclonic epilepsy,Seizure
Migraine without aura,Headache (finding)
Ophthalmic migraine,Headache (finding)
Migraine with prolonged aura,Headache (finding)
Complicated migraine,Headache (finding)
Familial hemiplegic migraine,Headache (finding)
Non-familial hemiplegic migraine,Headache (finding)
Migraine aura without headache,Headache (finding)
Status migrainosus,Headache (finding)
Migraine with ischemic complication,Headache (finding)
Congenital nuclear ophthalmoplegia,Ophthalmoplegia (disorder)
Superior laryngeal neuralgia,Pain (finding)
Intercostal post-herpetic neuralgia,Pain (finding)
Psychogenic genitourinary tract symptoms,Psychic dysuria
Diffuse stromal keratoconjunctivitis,Diffuse inflammation
Diabetic maculopathy,O/E - right eye diabetic maculopathy
Diabetic maculopathy,O/E - left eye diabetic maculopathy
Preproliferative diabetic retinopathy (disorder),O/E - right eye preproliferative diabetic retinopathy
Preproliferative diabetic retinopathy (disorder),O/E - left eye preproliferative diabetic retinopathy
Anomaly of vergence system,Anomaly of divergence
Relative afferent pupil defect (finding),Abnormal reflex
Partial sight - both eyes,Impairment level: low vision of both eyes
Partial sight - both eyes,"Low vision, both eyes"
"Better eye: severe visual impairment, Lesser eye: low vision unspecified",Impairment level: low vision of both eyes
"Better eye: severe visual impairment, Lesser eye: low vision unspecified","Low vision, both eyes"
Cyst of nasal cavity,Mass of respiratory structure
Nasal septal hematoma,Mass of respiratory structure
Endometriosis of pleura,Pain (finding)
Drug-induced acute pulmonary edema,Acute edema
Toxic pulmonary edema,Acute edema
Chemical-induced pulmonary edema,Acute edema
Oxygen-induced pulmonary edema,Acute edema
Lofgrens syndrome,Mass of lymphoreticular structure
Bilateral hilar adenopathy syndrome,Mass of lymphoreticular structure
Lofgrens syndrome,Mass of trunk
Bilateral hilar adenopathy syndrome,Mass of trunk
Infected bronchogenic cyst,Mass of respiratory structure
Stable angina (disorder),Angina
Stable angina (disorder),Ischemic chest pain
Stable angina (disorder),Pain (finding)
Stable angina (disorder),[X]Other forms of angina pectoris
New onset angina,Angina
New onset angina,Ischemic chest pain
New onset angina,Pain (finding)
New onset angina,[X]Other forms of angina pectoris
Pulmonary capillary hemangiomatosis,Mass of respiratory structure
Pulmonary capillary hemangiomatosis,Mass of cardiovascular structure
Simple faint,Syncope symptom
Simple faint,Syncope and collapse
Neurally-mediated syncope,Syncope symptom
Neurally-mediated syncope,Syncope and collapse
Malignant vasovagal syndrome,Syncope symptom
Malignant vasovagal syndrome,Syncope and collapse
Elderly vasovagal syndrome,Syncope symptom
Elderly vasovagal syndrome,Syncope and collapse
Situational syncope,Syncope symptom
Situational syncope,Syncope and collapse
Situational syncope,Effort syncope
Defecation syncope,Syncope symptom
Defecation syncope,Syncope and collapse
Deglutition syncope,Syncope symptom
Deglutition syncope,Syncope and collapse
Syphilitic gumma of oral cavity,Gummatous inflammation (morphologic abnormality)
Oral erythematous candidiasis,Erythema of skin
Oral erythematous candidiasis,Erythematous condition
Other functional disorder of the intestine NOS,Absent peristalsis
Other functional disorders of the intestine,Absent peristalsis
Hamartoma of stomach,Mass of digestive structure
Food intolerance NEC,Food intolerance
Appendix mass,Mass of digestive structure
Irritable bowel syndrome variant of childhood with constipation,Constipation (disorder)
Vulval warts,Mass of female genital structure
Endometriosis of myometrium,Pain (finding)
Endometriosis interna,Pain (finding)
Eclampsia in labor,Seizure
Nipple infection,Purulent nipple discharge
Drug-induced virilization,Virilization (finding)
Severe systemic illness tissue wasting,Cachexia (finding)
Severe systemic illness-induced skeletal muscle wasting,Cachexia (finding)
Disorder of blood gas,Hypercapnia (disorder)
Disorder of blood gas,Hypocapnia (disorder)
Disorder of blood gas,Hyperoxia (disorder)
Macula cerulea,Macular eruption
Maculae ceruleae,Macular eruption
Macula cerulea,Macule (morphologic abnormality)
Maculae ceruleae,Macule (morphologic abnormality)
Symptomatic dermographism,Urticaria geographica
Physical urticaria,Urticaria geographica
Dermatographic urticaria,Urticaria geographica
Symptomatic dermographism,Delayed dermographism
Physical urticaria,Delayed dermographism
Dermatographic urticaria,Delayed dermographism
Symptomatic dermographism,Reflex urticaria
Physical urticaria,Reflex urticaria
Dermatographic urticaria,Reflex urticaria
Giant cell arteritis with polymyalgia rheumatica,Pain (finding)
Painful arc syndrome,Pain (finding)
Ganglion of ankle,Mass of lower limb
Algodystrophy of foot,Pain (finding)
Algodystrophy of knee,Pain (finding)
Algodystrophy of hand,Pain (finding)
Erythema nodosum leprosum,Erythema of skin
Erythema nodosum leprosum,Erythematous condition
Macular syphilide,Macular eruption
Pustular syphilide,Pustular rash (morphologic abnormality)
Gummatous neurosyphilis,Gummatous inflammation (morphologic abnormality)
Anal warts,Mass of digestive structure
Perianal warts,Perianal lump
Donovanosis - inguinal lesion,Groin mass
Cachexia associated with AIDS,Cachexia (finding)
Achromic skin lesions of pinta,Achromia of skin (disorder)
Pheohyphomycotic subcutaneous cyst,Mass of body region
Hepatic schistosomal granuloma,Mass of digestive structure
Horizontal spasm of gaze,Spasm of conjugate gaze
Pleuropericardial cyst,Mass of cardiovascular structure
Liver hematoma,Mass of digestive structure
Spastic foot,(Spastic hemiplegia) or (spastic foot)
Psychosensory epilepsy,Seizure
Somatosensory epilepsy,Seizure
"Neuralgia, neuritis and radiculitis unspecified",Neuropathic pain
"Neuralgia, neuritis and radiculitis unspecified",Femoral neuralgia
"Neuralgia, neuritis and radiculitis unspecified",Reminiscent neuralgia
"Neuralgia, neuritis and radiculitis unspecified",Radicular pain
"Neuralgia, neuritis and radiculitis unspecified",Sympathetically maintained pain
"Neuralgia, neuritis and radiculitis unspecified",Obturator neuralgia
"Neuralgia, neuritis and radiculitis unspecified",Segmental peripheral neuralgia
"Neuralgia, neuritis and radiculitis unspecified",Neurogenic pain
"Neuralgia, neuritis and radiculitis unspecified",Sympathetically independent pain
"Neuralgia, neuritis and radiculitis unspecified",Unilateral shortlasting neuralgiform pain with conjunctival injection and tearing syndrome
"Neuralgia, neuritis and radiculitis unspecified",Peripheral neurogenic pain
"Neuralgia, neuritis and radiculitis unspecified",Peripheral neuropathic pain
"Neuralgia, neuritis or radiculitis NOS",Neuropathic pain
Other psychophysical visual disturbance,Subjective visual disturbance
[X]Other specified cardiac arrhythmias,Pulsus trigeminus (finding)
[X]Other specified cardiac arrhythmias,Labile pulse
[X]Other specified cardiac arrhythmias,Bigeminal pulse (finding)
[X]Other specified diseases of oesophagus,Pain in esophagus
[X]Other specified diseases of esophagus,Pain in esophagus
[X]Other specified diseases of oesophagus,Absent deglutition (finding)
[X]Other specified diseases of esophagus,Absent deglutition (finding)
[X]Other specified diseases of anus and rectum,Anal twitching
[X]Other specified diseases of liver,Liver pain (finding)
Other specified liver disorder,Liver pain (finding)
Other specified liver disorder NOS,Liver pain (finding)
[X]Other specified diseases of liver,Hepatocellular jaundice
Other specified liver disorder,Hepatocellular jaundice
Other specified liver disorder NOS,Hepatocellular jaundice
Nonorganic insomnia,Insomnia (disorder)
Umbilical sepsis,Disorder of umbilicus
Hypoglossal neuralgia,Pain (finding)
Amaurosis (disorder),Amaurosis fugax
Premenstrual tension syndrome,Symptom occurs premenstrually
Premenstrual tension syndrome,Premenstrual symptom
Premenstrual tension syndrome,Premenstrual swelling
Premenstrual tension syndrome,Premenstrual breast tenderness
Painful ophthalmoplegia,Ophthalmoplegia (disorder)
Painful ophthalmoplegia,Pain (finding)
Acrodermatitis continua,Pustular rash (morphologic abnormality)
Infantile hemiplegia,Hemiplegia (disorder)
Impairment level: better eye: moderate impairment: lesser eye: not further specified,Impairment level: low vision of both eyes
Impairment level: better eye: moderate impairment: lesser eye: not further specified,"Low vision, both eyes"
Abnormal involuntary movement,Athetoid movement
Abnormal involuntary movement,Clonus
Abnormal involuntary movement,Muscle fasciculation
Abnormal involuntary movement,Spasticity
Abnormal involuntary movement,Spasm (finding)
Abnormal involuntary movement,Tremor (finding)
Abnormal involuntary movement,Opisthotonus (finding)
Abnormal involuntary movement,Local spasm
Abnormal involuntary movement,Muscle twitch (finding)
Abnormal involuntary movement,Synkinesis (finding)
Abnormal involuntary movement,Trembles
Abnormal involuntary movement,Persistent tremor
Abnormal involuntary movement,Continuous tremor
Abnormal involuntary movement,Intermittent tremor
Abnormal involuntary movement,Fine tremor
Abnormal involuntary movement,Coarse tremor
Abnormal involuntary movement,Massive tremor
Abnormal involuntary movement,Passive tremor
Abnormal involuntary movement,Static tremor
Abnormal involuntary movement,Resting tremor
Abnormal involuntary movement,Grimaces
Abnormal involuntary movement,Clasp knife like increase in tone
Abnormal involuntary movement,Risus sardonicus
Abnormal involuntary movement,Involuntary movement
Abnormal involuntary movement,Involuntary movement symptom
Abnormal involuntary movement,Head movements abnormal
Abnormal involuntary movement,Pleurothotonus
Abnormal involuntary movement,Wrist clonus
Abnormal involuntary movement,Pseudoathetosis
Abnormal involuntary movement,Thyrotoxic tremor
Abnormal involuntary movement,Pill rolling
Abnormal involuntary movement,Involuntary truncal rocking
Abnormal involuntary movement,Orthostatic tremor
Abnormal involuntary movement,Chronic tremor
Rasmussen syndrome,Seizure
Early onset cerebellar ataxia,Cerebellar ataxia
Late onset cerebellar ataxia,Cerebellar ataxia
Disorder presenting primarily with chorea,Post-hemiplegic chorea
Kinesiogenic choreoathetosis,Paroxysmal dystonia
Dystonia,Dystonia (finding)
Dystonia,Paroxysmal dystonia
Dystonia,Diurnal dystonia
Isolated cervical dystonia,Spasmodic torticollis (disorder)
Isolated blepharospasm,Blepharospasm (disorder)
Other specified myoclonus,Myoclonic disorder
Symptomatic myoclonus,Myoclonic disorder
Post-anoxic myoclonus,Myoclonic disorder
Segmental cord myoclonus,Myoclonic disorder
Palatal-tympanic myoclonus,Myoclonic disorder
Hyoid myoclonus,Myoclonic disorder
Opsoclonus-myoclonus syndrome,Myoclonic disorder
Partial epilepsy with autonomic symptoms,Seizure
Benign frontal epilepsy of childhood,Seizure
Benign psychomotor epilepsy of childhood,Seizure
Benign atypical partial epilepsy in childhood,Seizure
Epilepsy with recurrent unilateral seizures in children,Seizure
Childhood epilepsy with occipital paroxysms,Seizure
Benign occipital epilepsy of childhood - early onset variant,Seizure
Benign occipital epilepsy of childhood - late onset variant,Seizure
Primary inherited reading epilepsy,Seizure
Amygdalo-hippocampal epilepsy,Seizure
Mesiobasal limbic epilepsy,Seizure
Rhinencephalic epilepsy,Seizure
Lateral temporal epilepsy,Seizure
Supplementary motor epilepsy,Seizure
Cingulate epilepsy,Seizure
Dorsolateral epilepsy,Seizure
Opercular epilepsy,Seizure
Non-progressive Kozhevnikow syndrome,Seizure
Parietal lobe epilepsy,Seizure
Occipital lobe epilepsy,Seizure
Chronic progressive epilepsia partialis continua,Seizure
Benign non-familial neonatal convulsions,Seizure
Myoclonic epilepsy of early childhood,Seizure
Epilepsy with grand mal seizures on awakening,Seizure
Cryptogenic West syndrome,Seizure
Symptomatic West syndrome,Seizure
Cryptogenic Lennox-Gastaut syndrome,Seizure
Symptomatic Lennox-Gastaut syndrome,Seizure
Myoclonic astatic epilepsy,Seizure
Myoclonic absence epilepsy,Seizure
Early infantile epileptic encephalopathy with suppression bursts,Seizure
Epilepsy with continuous spike wave during slow-wave sleep,Seizure
Secondary reading epilepsy,Seizure
Drug-induced epilepsy,Seizure
Narcotic withdrawal epilepsy,Seizure
Menstrual epilepsy,Seizure
Nocturnal epilepsy,Seizure
Photogenic epilepsy,Seizure
Photogenic epilepsy,Partial seizure
Eyelid myoclonus with absences,Seizure
Writing epilepsy,Seizure
Tactile epilepsy,Seizure
Eating epilepsy,Seizure
Tapping epilepsy,Seizure
Toothbrushing epilepsy,Seizure
Decision-making epilepsy,Seizure
Aquagenic epilepsy,Seizure
Non-convulsive status epilepticus with three per second spike wave,Seizure
Non-convulsive status epilepticus without three per second spike wave,Seizure
Non-convulsive simple partial status epilepticus,Seizure
Non-convulsive simple partial status epilepticus,Partial seizure
Complex partial status epilepticus,Seizure
Complex partial status epilepticus,Partial seizure
Headache disorder,Headache (finding)
Headache disorder,Menopausal headache
Headache disorder,Idiopathic stabbing headache
Muscular headache,Headache (finding)
Episodic tension-type headache,Headache (finding)
Chronic tension-type headache,Headache (finding)
Episodic cluster headache,Headache (finding)
Chronic cluster headache unremitting from onset,Headache (finding)
Chronic cluster headache evolved from episodic cluster headache,Headache (finding)
Chronic paroxysmal hemicrania,Headache (finding)
